time,StepCount,Activity Score (MET.s),AS,Sedentary Time (s),Upright Time (s),Stepping Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3)),
44582.95781,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95799,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95816,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95833,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95851,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95868,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95885,0,18.75,1.25,15,0,0,0,0,149,298,151,
44582.95903,0,18.75,1.25,15,0,0,0,0,1,0,1,
44582.9592,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95938,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95955,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.95972,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.9599,0,18.75,1.25,15,0,0,0,0,409,886,793,
44582.96007,0,18.75,1.25,15,0,0,0,0,56,276,233,
44582.96024,0,18.75,1.25,15,0,0,0,0,559,1056,741,
44582.96042,0,18.75,1.25,15,0,0,0,0,1,0,1,
44582.96059,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.96076,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.96094,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.96111,0,18.75,1.25,15,0,0,0,0,43,109,86,
44582.96128,0,18.75,1.25,15,0,0,0,0,853,1311,1153,
44582.96146,0,18.75,1.25,15,0,0,0,0,547,1308,835,
44582.96163,0,18.75,1.25,15,0,0,0,0,14,45,35,
44582.96181,0,18.75,1.25,15,0,0,0,0,133,394,167,
44582.96198,0,18.75,1.25,15,0,0,0,0,801,1163,763,
44582.96215,0,18.75,1.25,15,0,0,0,0,0,0,1,
44582.96233,0,18.75,1.25,15,0,0,0,0,59,50,19,
44582.9625,0,18.75,1.25,15,0,0,0,0,18,28,4,
44582.96267,0,18.75,1.25,15,0,0,0,0,38,42,46,
44582.96285,0,18.75,1.25,15,0,0,0,0,50,22,20,
44582.96302,0,18.75,1.25,15,0,0,0,0,1606,1952,1644,
44582.96319,0,18.75,1.25,15,0,0,0,0,2602,4648,2313,
44582.96337,0,18.75,1.25,15,0,0,0,0,1065,3176,739,
44582.96354,0,18.75,1.25,15,0,0,0,0,1628,6273,969,
44582.96372,0,18.75,1.25,15,0,0,0,0,39,96,16,
44582.96389,0,18.75,1.25,15,0,0,0,0,402,790,264,
44582.96406,0,18.75,1.25,15,0,0,0,0,226,362,124,
44582.96424,0,18.75,1.25,15,0,0,0,0,204,262,90,
44582.96441,0,18.75,1.25,15,0,0,0,0,721,709,474,
44582.96458,0,18.75,1.25,15,0,0,0,0,184,248,84,
44582.96476,0,18.75,1.25,15,0,0,0,0,20,33,32,
44582.96493,0,18.75,1.25,15,0,0,0,0,2292,7048,1736,
44582.9651,0,18.75,1.25,15,0,0,0,0,1285,4316,650,
44582.96528,0,18.75,1.25,15,0,0,0,0,1557,5541,768,
44582.96545,0,18.75,1.25,15,0,0,0,0,2329,5472,2244,
44582.96563,0,18.75,1.25,15,0,0,0,0,1584,3930,1372,
44582.9658,0,18.75,1.25,15,0,0,0,0,1116,3176,1002,
44582.96597,0,18.75,1.25,15,0,0,0,0,324,1159,310,
44582.96615,0,18.75,1.25,15,0,0,0,0,1792,4627,1631,
44582.96632,0,18.75,1.25,15,0,0,0,0,3,1,1,
44582.96649,0,18.75,1.25,15,0,0,0,0,1366,4528,956,
44582.96667,0,18.75,1.25,15,0,0,0,0,985,3599,410,
44582.96684,0,18.75,1.25,15,0,0,0,0,436,1023,467,
44582.96701,0,18.75,1.25,15,0,0,0,0,2,1,0,
44582.96719,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.96736,0,18.75,1.25,15,0,0,0,0,0,0,0,
44582.96753,0,18.75,1.25,15,0,0,0,0,546,3065,567,
44582.96771,0,18.75,1.25,15,0,0,0,0,994,5405,1135,
44582.96788,0,18.75,1.25,15,0,0,0,0,961,5261,1131,
44582.96806,0,18.75,1.25,15,0,0,0,0,843,5719,1190,
44582.96823,0,18.75,1.25,15,0,0,0,0,454,2303,562,
44582.9684,0,18.75,1.25,15,0,0,0,0,1473,5737,1369,
44582.96858,0,18.75,1.25,15,0,0,0,0,1414,6562,1484,
44582.96875,0,18.75,1.25,15,0,0,0,0,714,2524,697,
44582.96892,0,18.75,1.25,15,0,0,0,0,1698,11562,2053,
44582.9691,0,18.75,1.25,15,0,0,0,0,794,3722,871,
44582.96927,0,18.75,1.25,15,0,0,0,0,1059,6370,1018,
44582.96944,0,18.75,1.25,15,0,0,0,0,259,982,221,
44582.96962,0,18.75,1.25,15,0,0,0,0,960,7454,1223,
44582.96979,0,18.75,1.25,15,0,0,0,0,872,5636,1071,
44582.96997,0,18.75,1.25,15,0,0,0,0,331,1776,337,
44582.97014,0,18.75,1.25,15,0,0,0,0,1700,1988,2020,
44582.97031,0,18.75,1.25,15,0,0,0,0,952,5327,840,
44582.97049,0,18.75,1.25,15,0,0,0,0,300,998,190,
44582.97066,0,18.75,1.25,15,0,0,0,0,37,86,14,
44582.97083,0,18.75,1.25,15,0,0,0,0,2680,9317,2061,
44582.97101,0,18.75,1.25,15,0,0,0,0,1232,4254,883,
44582.97118,0,18.75,1.25,15,0,0,0,0,1489,5809,868,
44582.97135,0,18.75,1.25,15,0,0,0,0,429,1750,310,
44582.97153,0,18.75,1.25,15,0,0,0,0,625,2520,467,
44582.9717,0,18.75,1.25,15,0,0,0,0,1671,6572,1217,
44582.97188,0,18.75,1.25,15,0,0,0,0,1326,1713,1109,
44582.97205,0,18.75,1.25,15,0,0,0,0,1,1,1,
44582.97222,0,18.75,1.25,15,0,0,0,0,52,31,16,
44582.9724,0,18.75,1.25,15,0,0,0,0,164,225,173,
44582.97257,0,18.75,1.25,15,0,0,0,0,297,474,337,
44582.97274,0,18.75,1.25,15,0,0,0,0,1343,3145,999,
44582.97292,0,18.75,1.25,15,0,0,0,0,2710,8346,2175,
44582.97309,0,18.75,1.25,15,0,0,0,0,481,1360,268,
44582.97326,0,18.75,1.25,15,0,0,0,0,724,1870,496,
44582.97344,0,18.75,1.25,15,0,0,0,0,99,273,64,
44582.97361,0,18.75,1.25,15,0,0,0,0,1494,3924,1899,
44582.97378,0,18.75,1.25,15,0,0,0,0,1812,6534,1855,
44582.97396,0,18.75,1.25,15,0,0,0,0,1496,4654,1515,
44582.97413,0,18.75,1.25,15,0,0,0,0,538,2405,408,
44582.97431,0,18.75,1.25,15,0,0,0,0,1,1,1,
44582.97448,0,18.75,1.25,15,0,0,0,0,1519,5347,2008,
44582.97465,0,18.75,1.25,15,0,0,0,0,1228,5772,1484,
44582.97483,0,18.75,1.25,15,0,0,0,0,933,5039,1039,
44582.975,0,18.75,1.25,15,0,0,0,0,1489,5067,1530,
44582.97517,0,18.75,1.25,15,0,0,0,0,1827,7129,1735,
44582.97535,0,18.75,1.25,15,0,0,0,0,1020,4905,1022,
44582.97552,0,18.75,1.25,15,0,0,0,0,1644,7564,2135,
44582.97569,0,18.75,1.25,15,0,0,0,0,1998,8498,2248,
44582.97587,0,18.75,1.25,15,0,0,0,0,2061,5915,1554,
44582.97604,0,18.75,1.25,15,0,0,0,0,1599,7755,1626,
44582.97622,0,18.75,1.25,15,0,0,0,0,1494,8817,1834,
44582.97639,0,18.75,1.25,15,0,0,0,0,73,187,59,
44582.97656,0,18.75,1.25,15,0,0,0,0,3157,10340,3681,
44582.97674,0,18.75,1.25,15,0,0,0,0,3693,10302,3127,
44582.97691,0,18.75,1.25,15,0,0,0,0,2042,5966,1754,
44582.97708,0,18.75,1.25,15,0,0,0,0,2389,5696,1858,
44582.97726,0,18.75,1.25,15,0,0,0,0,2454,5735,1677,
44582.97743,0,18.75,1.25,15,0,0,0,0,2817,6525,2224,
44582.9776,0,18.75,1.25,15,0,0,0,0,2553,5710,1764,
44582.97778,0,18.75,1.25,15,0,0,0,0,2607,11618,2712,
44582.97795,0,18.75,1.25,15,0,0,0,0,2107,7908,2024,
44582.97813,0,18.75,1.25,15,0,0,0,0,1258,4569,1105,
44582.9783,0,18.75,1.25,15,0,0,0,0,1509,4828,1292,
44582.97847,0,18.75,1.25,15,0,0,0,0,1246,4610,1022,
44582.97865,0,18.75,1.25,15,0,0,0,0,996,3591,850,
44582.97882,0,18.75,1.25,15,0,0,0,0,586,2290,538,
44582.97899,0,18.75,1.25,15,0,0,0,0,747,2673,667,
44582.97917,0,18.75,1.25,15,0,0,0,0,2943,11425,3238,
44582.97934,0,18.75,1.25,15,0,0,0,0,1314,5452,1286,
44582.97951,0,18.75,1.25,15,0,0,0,0,1769,5520,1472,
44582.97969,0,18.75,1.25,15,0,0,0,0,1933,7248,1641,
44582.97986,0,18.75,1.25,15,0,0,0,0,2672,6543,2510,
44582.98003,0,18.75,1.25,15,0,0,0,0,1975,6779,1746,
44582.98021,0,18.75,1.25,15,0,0,0,0,1874,7070,1483,
44582.98038,0,18.75,1.25,15,0,0,0,0,2002,7296,1727,
44582.98056,0,18.75,1.25,15,0,0,0,0,1427,5251,1211,
44582.98073,0,18.75,1.25,15,0,0,0,0,3041,7079,2531,
44582.9809,0,18.75,1.25,15,0,0,0,0,1245,5973,1427,
44582.98108,0,18.75,1.25,15,0,0,0,0,731,2926,641,
44582.98125,0,18.75,1.25,15,0,0,0,0,345,1374,295,
44582.98142,0,18.75,1.25,15,0,0,0,0,1479,5713,1594,
44582.9816,0,18.75,1.25,15,0,0,0,0,774,2627,661,
44582.98177,0,18.75,1.25,15,0,0,0,0,545,2152,439,
44582.98194,0,18.75,1.25,15,0,0,0,0,336,1727,336,
44582.98212,0,18.75,1.25,15,0,0,0,0,320,1429,308,
44582.98229,0,18.75,1.25,15,0,0,0,0,536,2672,496,
44582.98247,0,18.75,1.25,15,0,0,0,0,688,2991,595,
44582.98264,0,18.75,1.25,15,0,0,0,0,830,3885,732,
44582.98281,0,18.75,1.25,15,0,0,0,0,37,171,40,
44582.98299,0,18.75,1.25,15,0,0,0,0,683,2719,593,
44582.98316,0,18.75,1.25,15,0,0,0,0,185,832,160,
44582.98333,0,18.75,1.25,15,0,0,0,0,1109,1638,1201,
44582.98351,0,18.75,1.25,15,0,0,0,0,382,2717,342,
44582.98368,0,18.75,1.25,15,0,0,0,0,1319,7977,937,
44582.98385,0,18.75,1.25,15,0,0,0,0,1111,6232,668,
44582.98403,0,18.75,1.25,15,0,0,0,0,68,88,32,
44582.9842,0,18.75,1.25,15,0,0,0,0,410,1999,268,
44582.98438,0,18.75,1.25,15,0,0,0,0,798,4063,437,
44582.98455,0,18.75,1.25,15,0,0,0,0,766,3563,493,
44582.98472,0,18.75,1.25,15,0,0,0,0,1196,3777,963,
44582.9849,0,18.75,1.25,15,0,0,0,0,949,3627,573,
44582.98507,0,18.75,1.25,15,0,0,0,0,775,2646,483,
44582.98524,0,18.75,1.25,15,0,0,0,0,404,1403,284,
44582.98542,0,18.75,1.25,15,0,0,0,0,718,2165,509,
44582.98559,0,18.75,1.25,15,0,0,0,0,2480,10398,2338,
44582.98576,0,18.75,1.25,15,0,0,0,0,491,1851,371,
44582.98594,0,18.75,1.25,15,0,0,0,0,326,1441,265,
44582.98611,0,18.75,1.25,15,0,0,0,0,989,3692,857,
44582.98628,0,18.75,1.25,15,0,0,0,0,1130,4596,770,
44582.98646,0,18.75,1.25,15,0,0,0,0,1481,4900,1130,
44582.98663,0,18.75,1.25,15,0,0,0,0,796,3059,560,
44582.98681,0,18.75,1.25,15,0,0,0,0,84,128,46,
44582.98698,0,18.75,1.25,15,0,0,0,0,942,3776,836,
44582.98715,0,18.75,1.25,15,0,0,0,0,240,962,176,
44582.98733,0,18.75,1.25,15,0,0,0,0,233,488,124,
44582.9875,0,18.75,1.25,15,0,0,0,0,1542,5647,1308,
44582.98767,0,18.75,1.25,15,0,0,0,0,651,2525,435,
44582.98785,0,18.75,1.25,15,0,0,0,0,197,499,107,
44582.98802,0,18.75,1.25,15,0,0,0,0,190,513,123,
44582.98819,0,18.75,1.25,15,0,0,0,0,996,3888,807,
44582.98837,0,18.75,1.25,15,0,0,0,0,443,1371,264,
44582.98854,0,18.75,1.25,15,0,0,0,0,157,110,66,
44582.98872,0,18.75,1.25,15,0,0,0,0,421,1352,258,
44582.98889,0,18.75,1.25,15,0,0,0,0,1321,10552,2294,
44582.98906,0,18.75,1.25,15,0,0,0,0,343,2366,436,
44582.98924,0,18.75,1.25,15,0,0,0,0,613,4650,929,
44582.98941,0,18.75,1.25,15,0,0,0,0,572,4374,848,
44582.98958,0,18.75,1.25,15,0,0,0,0,539,2856,496,
44582.98976,0,18.75,1.25,15,0,0,0,0,293,938,234,
44582.98993,0,18.75,1.25,15,0,0,0,0,315,1679,311,
44582.9901,0,18.75,1.25,15,0,0,0,0,541,1782,472,
44582.99028,0,18.75,1.25,15,0,0,0,0,146,658,114,
44582.99045,0,18.75,1.25,15,0,0,0,0,180,654,110,
44582.99063,0,18.75,1.25,15,0,0,0,0,13,16,5,
44582.9908,0,18.75,1.25,15,0,0,0,0,1496,5208,1165,
44582.99097,0,18.75,1.25,15,0,0,0,0,622,2627,462,
44582.99115,0,18.75,1.25,15,0,0,0,0,717,3057,566,
44582.99132,0,18.75,1.25,15,0,0,0,0,234,970,157,
44582.99149,0,18.75,1.25,15,0,0,0,0,188,694,120,
44582.99167,0,18.75,1.25,15,0,0,0,0,975,3079,779,
44582.99184,0,18.75,1.25,15,0,0,0,0,584,2060,360,
44582.99201,0,18.75,1.25,15,0,0,0,0,477,1620,285,
44582.99219,0,18.75,1.25,15,0,0,0,0,1330,4395,1244,
44582.99236,0,18.75,1.25,15,0,0,0,0,119,322,89,
44582.99253,0,18.75,1.25,15,0,0,0,0,330,1199,185,
44582.99271,0,18.75,1.25,15,0,0,0,0,143,400,89,
44582.99288,0,18.75,1.25,15,0,0,0,0,188,336,74,
44582.99306,0,18.75,1.25,15,0,0,0,0,15,56,10,
44582.99323,0,18.75,1.25,15,0,0,0,0,760,4448,1059,
44582.9934,0,18.75,1.25,15,0,0,0,0,1113,7182,1237,
44582.99358,0,18.75,1.25,15,0,0,0,0,199,585,98,
44582.99375,0,18.75,1.25,15,0,0,0,0,160,659,112,
44582.99392,0,18.75,1.25,15,0,0,0,0,947,6978,1569,
44582.9941,0,18.75,1.25,15,0,0,0,0,170,171,82,
44582.99427,0,18.75,1.25,15,0,0,0,0,1033,3052,1021,
44582.99444,0,18.75,1.25,15,0,0,0,0,1573,6425,1315,
44582.99462,0,18.75,1.25,15,0,0,0,0,626,2196,443,
44582.99479,0,18.75,1.25,15,0,0,0,0,704,2417,555,
44582.99497,0,18.75,1.25,15,0,0,0,0,243,971,177,
44582.99514,0,18.75,1.25,15,0,0,0,0,64,77,30,
44582.99531,0,18.75,1.25,15,0,0,0,0,100,104,56,
44582.99549,0,18.75,1.25,15,0,0,0,0,292,550,164,
44582.99566,0,18.75,1.25,15,0,0,0,0,615,2612,668,
44582.99583,0,18.75,1.25,15,0,0,0,0,94,139,52,
44582.99601,0,18.75,1.25,15,0,0,0,0,740,4395,991,
44582.99618,0,18.75,1.25,15,0,0,0,0,452,2991,465,
44582.99635,0,18.75,1.25,15,0,0,0,0,95,96,16,
44582.99653,0,18.75,1.25,15,0,0,0,0,1134,6857,1149,
44582.9967,0,18.75,1.25,15,0,0,0,0,401,1964,326,
44582.99688,0,18.75,1.25,15,0,0,0,0,499,561,451,
44582.99705,0,18.75,1.25,15,0,0,0,0,120,153,131,
44582.99722,0,18.75,1.25,15,0,0,0,0,2697,8798,1950,
44582.9974,0,18.75,1.25,15,0,0,0,0,1106,4552,748,
44582.99757,0,18.75,1.25,15,0,0,0,0,1087,4844,1121,
44582.99774,0,18.75,1.25,15,0,0,0,0,1288,4982,891,
44582.99792,0,18.75,1.25,15,0,0,0,0,42,75,19,
44582.99809,0,18.75,1.25,15,0,0,0,0,1494,5281,913,
44582.99826,0,18.75,1.25,15,0,0,0,0,1863,7353,1359,
44582.99844,0,18.75,1.25,15,0,0,0,0,82,244,49,
44582.99861,0,18.75,1.25,15,0,0,0,0,736,3485,774,
44582.99878,0,18.75,1.25,15,0,0,0,0,312,1160,191,
44582.99896,0,18.75,1.25,15,0,0,0,0,191,253,57,
44582.99913,0,18.75,1.25,15,0,0,0,0,168,187,69,
44582.99931,0,18.75,1.25,15,0,0,0,0,284,225,91,
44582.99948,0,18.75,1.25,15,0,0,0,0,34,37,12,
44582.99965,0,18.75,1.25,15,0,0,0,0,151,114,56,
44582.99983,0,18.75,1.25,15,0,0,0,0,2193,7611,2028,
44583,0,18.75,1.25,15,0,0,0,0,458,1789,311,
44583.00017,0,18.75,1.25,15,0,0,0,0,689,2724,477,
44583.00035,0,18.75,1.25,15,0,0,0,0,1570,5860,991,
44583.00052,0,18.75,1.25,15,0,0,0,0,831,2525,554,
44583.00069,0,18.75,1.25,15,0,0,0,0,567,395,166,
44583.00087,0,18.75,1.25,15,0,0,0,0,1558,5581,1211,
44583.00104,0,18.75,1.25,15,0,0,0,0,1696,6330,1302,
44583.00122,0,18.75,1.25,15,0,0,0,0,571,1779,339,
44583.00313,0,18.75,1.25,15,0,0,0,0,1067,1295,1345,
44583.0033,0,18.75,1.25,15,0,0,0,0,75,117,102,
44583.00347,0,18.75,1.25,15,0,0,0,0,56,96,72,
44583.00365,0,18.75,1.25,15,0,0,0,0,669,760,811,
44583.00382,0,18.75,1.25,15,0,0,0,0,26,14,4,
44583.00399,0,18.75,1.25,15,0,0,0,0,26,26,18,
44583.00417,0,18.75,1.25,15,0,0,0,0,145,132,77,
44583.00434,0,18.75,1.25,15,0,0,0,0,0,0,1,
44583.00451,0,18.75,1.25,15,0,0,0,0,289,319,494,
44583.00469,0,18.75,1.25,15,0,0,0,0,108,97,110,
44583.00486,0,18.75,1.25,15,0,0,0,0,94,88,134,
44583.00503,0,18.75,1.25,15,0,0,0,0,159,142,81,
44583.00521,0,18.75,1.25,15,0,0,0,0,1774,2274,3048,
44583.00538,0,18.75,1.25,15,0,0,0,0,2210,6526,2393,
44583.00556,0,18.75,1.25,15,0,0,0,0,519,1881,600,
44583.00573,0,18.75,1.25,15,0,0,0,0,419,1456,478,
44583.0059,0,18.75,1.25,15,0,0,0,0,1028,3507,1370,
44583.00608,0,18.75,1.25,15,0,0,0,0,437,1586,496,
44583.00625,0,18.75,1.25,15,0,0,0,0,1188,2107,1524,
44583.00642,0,18.75,1.25,15,0,0,0,0,1114,1193,1779,
44583.0066,0,18.75,1.25,15,0,0,0,0,230,258,342,
44583.00677,0,18.75,1.25,15,0,0,0,0,84,90,112,
44583.00694,0,18.75,1.25,15,0,0,0,0,10,10,11,
44583.00712,0,18.75,1.25,15,0,0,0,0,1,1,0,
44583.00729,0,18.75,1.25,15,0,0,0,0,105,192,178,
44583.00747,0,18.75,1.25,15,0,0,0,0,1,0,0,
44583.00764,0,18.75,1.25,15,0,0,0,0,0,0,0,
44583.00781,0,18.75,1.25,15,0,0,0,0,0,0,0,
44583.00799,0,18.75,1.25,15,0,0,0,0,2108,3553,2560,
44583.00816,0,18.75,1.25,15,0,0,0,0,2549,5044,4303,
44583.00833,0,18.75,1.25,15,0,0,0,0,1168,3323,1575,
44583.00851,0,18.75,1.25,15,0,0,0,0,811,2053,1233,
44583.00868,0,18.75,1.25,15,0,0,0,0,912,2770,1364,
44583.00885,0,18.75,1.25,15,0,0,0,0,1079,3051,1535,
44583.00903,0,18.75,1.25,15,0,0,0,0,1321,2494,1869,
44583.0092,0,18.75,1.25,15,0,0,0,0,144,406,189,
44583.00938,0,18.75,1.25,15,0,0,0,0,1397,3665,1802,
44583.00955,0,18.75,1.25,15,0,0,0,0,68,226,106,
44583.00972,0,18.75,1.25,15,0,0,0,0,1696,4318,2050,
44583.0099,0,18.75,1.25,15,0,0,0,0,1204,4469,1455,
44583.01007,0,18.75,1.25,15,0,0,0,0,103,455,102,
44583.01024,0,18.75,1.25,15,0,0,0,0,286,1228,277,
44583.01042,0,18.75,1.25,15,0,0,0,0,258,1134,260,
44583.01059,0,18.75,1.25,15,0,0,0,0,330,1361,293,
44583.01076,0,18.75,1.25,15,0,0,0,0,121,158,69,
